,td_a,td_b,td_ttd_a_MR_ADD,td_ttd_b_MR_ADD,td_ttd_a_MR_EXC,td_ttd_b_MR_EXC,td_ttd_a_MR_INC,td_ttd_b_MR_INC,td_ttd_a_MR_INV,td_ttd_b_MR_INV,td_ttd_a_MR_MUL,td_ttd_b_MR_MUL,td_ttd_a_MR_PER,td_ttd_b_MR_PER,td_output,ttd_output_mr_per,ttd_output_mr_add,ttd_output_mr_mul,ttd_output_mr_inv,ttd_output_mr_inc,ttd_output_mr_exc,vs_str_mr_per,vs_str_mr_add,vs_str_mr_mul,vs_str_mr_inv,vs_str_mr_inc,vs_str_mr_exc,vs_mr_per,vs_mr_add,vs_mr_mul,vs_mr_inv,vs_mr_inc,vs_mr_exc
10,"[4, -1, 6, -7, 11, 13, -1]","[-1, 3, -8, -2, 0, 7, 1]","[8, 3, 10, -3, 15, 17, 3]","[3, 7, -4, 2, 4, 11, 5]","[4, -1, 6, -7, 13, -1]","[-1, 3, -8, -2, 7, 1]","[4, -1, 6, -7, 11, 13, 4, -1]","[-1, 3, -8, -2, 0, 7, 4, 1]","[0.25, -1.0, 0.16666666666666666, -0.14285714285714285, 0.09090909090909091, 0.07692307692307693, -1.0]","[-1.0, 0.3333333333333333, -0.125, -0.5, 'ZeroDivisionError', 0.14285714285714285, 1.0]","[16, -4, 24, -28, 44, 52, -4]","[-4, 12, -32, -8, 0, 28, 4]","[-1, -7, -1, 6, 13, 11, 4]","[1, -2, 3, -1, -8, 7, 0]","[-1, -1, -8, -7, 0, 7, -1]","[-1, -7, -1, -1, -8, 7, 0]","[3, 3, -4, -3, 4, 11, 3]","[-4, -4, -32, -28, 0, 28, -4]",error,"[-1, -1, -8, -7, 0, 7, 4, -1]","[-1, -1, -8, -7, 7, -1]",No-violate,No-violate,Violate,error,No-violate,No-violate,0,0,1,error,0,0
11,"[1, 0, 14, 6, 14]","[18, 17, -2, 16, 14]","[5, 4, 18, 10, 18]","[22, 21, 2, 20, 18]","[1, 0, 6, 14]","[18, 17, 16, 14]","[1, 0, 14, 6, 4, 14]","[18, 17, -2, 16, 4, 14]","[1.0, 'ZeroDivisionError', 0.07142857142857142, 0.16666666666666666, 0.07142857142857142]","[0.05555555555555555, 0.058823529411764705, -0.5, 0.0625, 0.07142857142857142]","[4, 0, 56, 24, 56]","[72, 68, -8, 64, 56]","[1, 14, 0, 14, 6]","[-2, 16, 18, 17, 14]","[1, 0, -2, 6, 14]","[-2, 14, 0, 14, 6]","[5, 4, 2, 10, 18]","[4, 0, -8, 24, 56]",error,"[1, 0, -2, 6, 4, 14]","[1, 0, 6, 14]",Violate,No-violate,Violate,error,No-violate,No-violate,1,0,1,error,0,0
12,"[-1, 5, 11, 0, 0, 7]","[-2, -4, 12, 7, 1, 4]","[3, 9, 15, 4, 4, 11]","[2, 0, 16, 11, 5, 8]","[-1, 5, 0, 0, 7]","[-2, -4, 7, 1, 4]","[-1, 5, 11, 4, 0, 0, 7]","[-2, -4, 12, 4, 7, 1, 4]","[-1.0, 0.2, 0.09090909090909091, 'ZeroDivisionError', 'ZeroDivisionError', 0.14285714285714285]","[-0.5, -0.25, 0.08333333333333333, 0.14285714285714285, 1.0, 0.25]","[-4, 20, 44, 0, 0, 28]","[-8, -16, 48, 28, 4, 16]","[0, 11, 5, 0, -1, 7]","[4, 7, 1, -2, -4, 12]","[-2, -4, 11, 0, 0, 4]","[0, 7, 1, -2, -4, 7]","[2, 0, 15, 4, 4, 8]","[-8, -16, 44, 0, 0, 16]",error,"[-2, -4, 11, 4, 0, 0, 4]","[-2, -4, 0, 0, 4]",Violate,No-violate,Violate,error,No-violate,No-violate,1,0,1,error,0,0
13,"[3, 1, -4, 6, 7]","[-2, 5, -4, -7, 3]","[7, 5, 0, 10, 11]","[2, 9, 0, -3, 7]","[3, 1, 6, 7]","[-2, 5, -7, 3]","[3, 4, 1, -4, 6, 7]","[-2, 4, 5, -4, -7, 3]","[0.3333333333333333, 1.0, -0.25, 0.16666666666666666, 0.14285714285714285]","[-0.5, 0.2, -0.25, -0.14285714285714285, 0.3333333333333333]","[12, 4, -16, 24, 28]","[-8, 20, -16, -28, 12]","[7, 3, 1, -4, 6]","[-4, -7, 3, 5, -2]","[-2, 1, -4, -7, 3]","[-4, -7, 1, -4, -2]","[2, 5, 0, -3, 7]","[-8, 4, -16, -28, 12]","[-0.5, 0.2, -0.25, -0.14285714285714285, 0.14285714285714285]","[-2, 4, 1, -4, -7, 3]","[-2, 1, -7, 3]",Violate,No-violate,Violate,Violate,No-violate,No-violate,1,0,1,1,0,0
14,"[2, -8, 1, -4, -8, -2, -4, -12, -7, -11, -1, -3, -1]","[-3, -9, -8, -3, -10, -10, -2, -1, 3, -5, -13, -3, -4]","[6, -4, 5, 0, -4, 2, 0, -8, -3, -7, 3, 1, 3]","[1, -5, -4, 1, -6, -6, 2, 3, 7, -1, -9, 1, 0]","[2, -8, 1, -4, -8, -2, -4, -7, -11, -1, -3, -1]","[-3, -9, -8, -3, -10, -10, -2, 3, -5, -13, -3, -4]","[2, -8, 1, -4, -8, -2, -4, -12, -7, -11, -1, -3, -1, 4]","[-3, -9, -8, -3, -10, -10, -2, -1, 3, -5, -13, -3, -4, 4]","[0.5, -0.125, 1.0, -0.25, -0.125, -0.5, -0.25, -0.08333333333333333, -0.14285714285714285, -0.09090909090909091, -1.0, -0.3333333333333333, -1.0]","[-0.3333333333333333, -0.1111111111111111, -0.125, -0.3333333333333333, -0.1, -0.1, -0.5, -1.0, 0.3333333333333333, -0.2, -0.07692307692307693, -0.3333333333333333, -0.25]","[8, -32, 4, -16, -32, -8, -16, -48, -28, -44, -4, -12, -4]","[-12, -36, -32, -12, -40, -40, -8, -4, 12, -20, -52, -12, -16]","[-12, -1, -11, 2, -1, -2, 1, -8, -4, -4, -3, -8, -7]","[-10, -3, -2, 3, -13, -4, -3, -10, -8, -5, -1, -3, -9]","[-3, -9, -8, -4, -10, -10, -4, -12, -7, -11, -13, -3, -4]","[-12, -3, -11, 2, -13, -4, -3, -10, -8, -5, -3, -8, -9]","[1, -5, -4, 0, -6, -6, 0, -8, -3, -7, -9, 1, 0]","[-12, -36, -32, -16, -40, -40, -16, -48, -28, -44, -52, -12, -16]","[-0.3333333333333333, -0.125, -0.125, -0.3333333333333333, -0.125, -0.5, -0.5, -1.0, -0.14285714285714285, -0.2, -1.0, -0.3333333333333333, -1.0]","[-3, -9, -8, -4, -10, -10, -4, -12, -7, -11, -13, -3, -4, 4]","[-3, -9, -8, -4, -10, -10, -4, -7, -11, -13, -3, -4]",Violate,No-violate,Violate,Violate,No-violate,No-violate,1,0,1,1,0,0
15,"[7, -19, -2, -17, -11, 0, -13, -4, -12, -9, -10, 6]","[10, -15, 7, -9, -14, -11, -18, 9, -3, -3, -6, 3]","[11, -15, 2, -13, -7, 4, -9, 0, -8, -5, -6, 10]","[14, -11, 11, -5, -10, -7, -14, 13, 1, 1, -2, 7]","[7, -19, -2, -17, 0, -13, -4, -12, -9, -10, 6]","[10, -15, 7, -9, -11, -18, 9, -3, -3, -6, 3]","[4, 7, -19, -2, -17, -11, 0, -13, -4, -12, -9, -10, 6]","[4, 10, -15, 7, -9, -14, -11, -18, 9, -3, -3, -6, 3]","[0.14285714285714285, -0.05263157894736842, -0.5, -0.058823529411764705, -0.09090909090909091, 'ZeroDivisionError', -0.07692307692307693, -0.25, -0.08333333333333333, -0.1111111111111111, -0.1, 0.16666666666666666]","[0.1, -0.06666666666666667, 0.14285714285714285, -0.1111111111111111, -0.07142857142857142, -0.09090909090909091, -0.05555555555555555, 0.1111111111111111, -0.3333333333333333, -0.3333333333333333, -0.16666666666666666, 0.3333333333333333]","[28, -76, -8, -68, -44, 0, -52, -16, -48, -36, -40, 24]","[40, -60, 28, -36, -56, -44, -72, 36, -12, -12, -24, 12]","[-19, 7, 0, -13, -2, -4, -17, -11, -12, -9, -10, 6]","[7, -3, -15, 9, 10, -9, -3, 3, -6, -18, -11, -14]","[7, -19, -2, -17, -14, -11, -18, -4, -12, -9, -10, 3]","[-19, -3, -15, -13, -2, -9, -17, -11, -12, -18, -11, -14]","[11, -15, 2, -13, -10, -7, -14, 0, -8, -5, -6, 7]","[28, -76, -8, -68, -56, -44, -72, -16, -48, -36, -40, 12]",error,"[4, 7, -19, -2, -17, -14, -11, -18, -4, -12, -9, -10, 3]","[7, -19, -2, -17, -11, -18, -4, -12, -9, -10, 3]",Violate,No-violate,Violate,error,No-violate,No-violate,1,0,1,error,0,0
16,"[-14, -16, 5]","[-1, -15, -5]","[-10, -12, 9]","[3, -11, -1]","[-14, -16]","[-1, -15]","[-14, -16, 5, 4]","[-1, -15, -5, 4]","[-0.07142857142857142, -0.0625, 0.2]","[-1.0, -0.06666666666666667, -0.2]","[-56, -64, 20]","[-4, -60, -20]","[-16, -14, 5]","[-1, -5, -15]","[-14, -16, -5]","[-16, -14, -15]","[-10, -12, -1]","[-56, -64, -20]","[-1.0, -0.06666666666666667, -0.2]","[-14, -16, -5, 4]","[-14, -16]",Violate,No-violate,Violate,Violate,No-violate,No-violate,1,0,1,1,0,0
17,"[7, -1, 3, 11, -4, -8, -9, 8, 9, -2, 2]","[6, 0, 16, -15, 1, 11, -12, 10, 11, -2, -14]","[11, 3, 7, 15, 0, -4, -5, 12, 13, 2, 6]","[10, 4, 20, -11, 5, 15, -8, 14, 15, 2, -10]","[7, -1, 11, -4, -8, -9, 8, 9, -2, 2]","[6, 0, -15, 1, 11, -12, 10, 11, -2, -14]","[4, 7, -1, 3, 11, -4, -8, -9, 8, 9, -2, 2]","[4, 6, 0, 16, -15, 1, 11, -12, 10, 11, -2, -14]","[0.14285714285714285, -1.0, 0.3333333333333333, 0.09090909090909091, -0.25, -0.125, -0.1111111111111111, 0.125, 0.1111111111111111, -0.5, 0.5]","[0.16666666666666666, 'ZeroDivisionError', 0.0625, -0.06666666666666667, 1.0, 0.09090909090909091, -0.08333333333333333, 0.1, 0.09090909090909091, -0.5, -0.07142857142857142]","[28, -4, 12, 44, -16, -32, -36, 32, 36, -8, 8]","[24, 0, 64, -60, 4, 44, -48, 40, 44, -8, -56]","[8, -8, 3, 11, 7, -1, 9, -2, -4, -9, 2]","[-12, -15, -14, 16, 11, 10, 11, 0, 6, 1, -2]","[6, -1, 3, -15, -4, -8, -12, 8, 9, -2, -14]","[-12, -15, -14, 11, 7, -1, 9, -2, -4, -9, -2]","[10, 3, 7, -11, 0, -4, -8, 12, 13, 2, -10]","[24, -4, 12, -60, -16, -32, -48, 32, 36, -8, -56]",error,"[4, 6, -1, 3, -15, -4, -8, -12, 8, 9, -2, -14]","[6, -1, -15, -4, -8, -12, 8, 9, -2, -14]",Violate,No-violate,Violate,error,No-violate,No-violate,1,0,1,error,0,0
18,"[-2, -5, -6, -6, -7, -3, -2, -11, 4, 5, -13, -5, 5]","[-9, 2, -17, -4, -15, -5, -1, -14, -11, -16, -12, 3, 1]","[2, -1, -2, -2, -3, 1, 2, -7, 8, 9, -9, -1, 9]","[-5, 6, -13, 0, -11, -1, 3, -10, -7, -12, -8, 7, 5]","[-5, -6, -6, -7, -3, -2, -11, 4, 5, -13, -5, 5]","[2, -17, -4, -15, -5, -1, -14, -11, -16, -12, 3, 1]","[-2, -5, -6, -6, -7, -3, -2, -11, 4, 5, -13, -5, 5, 4]","[-9, 2, -17, -4, -15, -5, -1, -14, -11, -16, -12, 3, 1, 4]","[-0.5, -0.2, -0.16666666666666666, -0.16666666666666666, -0.14285714285714285, -0.3333333333333333, -0.5, -0.09090909090909091, 0.25, 0.2, -0.07692307692307693, -0.2, 0.2]","[-0.1111111111111111, 0.5, -0.058823529411764705, -0.25, -0.06666666666666667, -0.2, -1.0, -0.07142857142857142, -0.09090909090909091, -0.0625, -0.08333333333333333, 0.3333333333333333, 1.0]","[-8, -20, -24, -24, -28, -12, -8, -44, 16, 20, -52, -20, 20]","[-36, 8, -68, -16, -60, -20, -4, -56, -44, -64, -48, 12, 4]","[5, -2, -3, -5, -2, -13, -5, -6, -11, 5, 4, -7, -6]","[-15, -12, -14, -5, -1, -16, 3, -9, 2, -17, -11, 1, -4]","[-9, -5, -17, -6, -15, -5, -2, -14, -11, -16, -13, -5, 1]","[-15, -12, -14, -5, -2, -16, -5, -9, -11, -17, -11, -7, -6]","[-5, -1, -13, -2, -11, -1, 2, -10, -7, -12, -9, -1, 5]","[-36, -20, -68, -24, -60, -20, -8, -56, -44, -64, -52, -20, 4]","[-0.5, -0.2, -0.16666666666666666, -0.25, -0.14285714285714285, -0.3333333333333333, -1.0, -0.09090909090909091, -0.09090909090909091, -0.0625, -0.08333333333333333, -0.2, 0.2]","[-9, -5, -17, -6, -15, -5, -2, -14, -11, -16, -13, -5, 1, 4]","[-5, -17, -6, -15, -5, -2, -14, -11, -16, -13, -5, 1]",Violate,No-violate,Violate,Violate,No-violate,No-violate,1,0,1,1,0,0
19,"[0, -1, 11, -3]","[14, 16, -3, 16]","[4, 3, 15, 1]","[18, 20, 1, 20]","[0, -1, -3]","[14, 16, 16]","[4, 0, -1, 11, -3]","[4, 14, 16, -3, 16]","['ZeroDivisionError', -1.0, 0.09090909090909091, -0.3333333333333333]","[0.07142857142857142, 0.0625, -0.3333333333333333, 0.0625]","[0, -4, 44, -12]","[56, 64, -12, 64]","[11, -1, -3, 0]","[14, 16, 16, -3]","[0, -1, -3, -3]","[11, -1, -3, -3]","[4, 3, 1, 1]","[0, -4, -12, -12]",error,"[4, 0, -1, -3, -3]","[0, -1, -3]",Violate,No-violate,Violate,error,No-violate,No-violate,1,0,1,error,0,0
20,"[-7, 11, -4, 13, 1, 7, 12, -10, 2, 0, 14, -8, -15, -3]","[7, -14, -7, 10, 18, 5, 18, 10, -11, -6, 2, 5, 5, 4]","[-3, 15, 0, 17, 5, 11, 16, -6, 6, 4, 18, -4, -11, 1]","[11, -10, -3, 14, 22, 9, 22, 14, -7, -2, 6, 9, 9, 8]","[-7, 11, -4, 1, 7, 12, -10, 2, 0, 14, -8, -15, -3]","[7, -14, -7, 18, 5, 18, 10, -11, -6, 2, 5, 5, 4]","[-7, 11, -4, 13, 1, 7, 4, 12, -10, 2, 0, 14, -8, -15, -3]","[7, -14, -7, 10, 18, 5, 4, 18, 10, -11, -6, 2, 5, 5, 4]","[-0.14285714285714285, 0.09090909090909091, -0.25, 0.07692307692307693, 1.0, 0.14285714285714285, 0.08333333333333333, -0.1, 0.5, 'ZeroDivisionError', 0.07142857142857142, -0.125, -0.06666666666666667, -0.3333333333333333]","[0.14285714285714285, -0.07142857142857142, -0.14285714285714285, 0.1, 0.05555555555555555, 0.2, 0.05555555555555555, 0.1, -0.09090909090909091, -0.16666666666666666, 0.5, 0.2, 0.2, 0.25]","[-28, 44, -16, 52, 4, 28, 48, -40, 8, 0, 56, -32, -60, -12]","[28, -56, -28, 40, 72, 20, 72, 40, -44, -24, 8, 20, 20, 16]","[11, 14, -3, -7, -4, -8, 13, 0, 2, -15, 12, 1, -10, 7]","[-14, 4, 5, 2, -6, -7, 7, -11, 5, 18, 5, 10, 10, 18]","[-7, -14, -7, 10, 1, 5, 12, -10, -11, -6, 2, -8, -15, -3]","[-14, 4, -3, -7, -6, -8, 7, -11, 2, -15, 5, 1, -10, 7]","[-3, -10, -3, 14, 5, 9, 16, -6, -7, -2, 6, -4, -11, 1]","[-28, -56, -28, 40, 4, 20, 48, -40, -44, -24, 8, -32, -60, -12]",error,"[-7, -14, -7, 10, 1, 5, 4, 12, -10, -11, -6, 2, -8, -15, -3]","[-7, -14, -7, 1, 5, 12, -10, -11, -6, 2, -8, -15, -3]",Violate,No-violate,Violate,error,No-violate,No-violate,1,0,1,error,0,0
