,td_a,td_b,td_ttd_a_MR_ADD,td_ttd_b_MR_ADD,td_ttd_a_MR_EXC,td_ttd_b_MR_EXC,td_ttd_a_MR_INC,td_ttd_b_MR_INC,td_ttd_a_MR_INV,td_ttd_b_MR_INV,td_ttd_a_MR_MUL,td_ttd_b_MR_MUL,td_ttd_a_MR_PER,td_ttd_b_MR_PER,td_output,ttd_output_mr_per,ttd_output_mr_add,ttd_output_mr_mul,ttd_output_mr_inv,ttd_output_mr_inc,ttd_output_mr_exc,vs_str_mr_per,vs_str_mr_add,vs_str_mr_mul,vs_str_mr_inv,vs_str_mr_inc,vs_str_mr_exc,vs_mr_per,vs_mr_add,vs_mr_mul,vs_mr_inv,vs_mr_inc,vs_mr_exc
10,"[3, 2, -2, -9, 11, 20, 0]","[-1, 3, -8, -2, 0, 7, 1]","[11, 10, 6, -1, 19, 28, 8]","[3, 7, -4, 2, 4, 11, 5]","[3, 2, -2, -9, 20, 0]","[-1, 3, -8, -2, 7, 1]","[3, 2, -2, -9, 11, 20, 8, 0]","[-1, 3, -8, -2, 0, 7, 4, 1]","[-0.75, -0.6666666666666667, 0.04166666666666666, -0.6428571428571428, 0.09090909090909091, 0.07692307692307693, -1.0]","[-1.0, 0.3333333333333333, -0.125, -0.5, 'ZeroDivisionError', 0.14285714285714285, 1.0]","[12, 8, -8, -36, 44, 80, 0]","[-4, 12, -32, -8, 0, 28, 4]","[0, -9, 2, 5, 5, 18, 4]","[1, -2, 3, -1, -8, 7, 0]","[3, 2, -2, -9, 11, 20, 0]","[0, -9, 2, 5, 5, 18, 4]","[11, 10, 6, -1, 19, 28, 8]","[12, 8, -8, -36, 44, 80, 0]",error,"[3, 2, -2, -9, 11, 20, 8, 0]","[3, 2, -2, -9, 20, 0]",Violate,No-violate,Violate,error,No-violate,No-violate,1,0,1,error,0,0
11,"[19, 17, 12, 22, 28]","[18, 17, -2, 16, 14]","[27, 25, 20, 30, 36]","[22, 21, 2, 20, 18]","[19, 17, 22, 28]","[18, 17, 16, 14]","[19, 17, 12, 22, 8, 28]","[18, 17, -2, 16, 4, 14]","[1.0555555555555556, 'ZeroDivisionError', 0.07142857142857142, 0.16666666666666666, 0.07142857142857142]","[0.05555555555555555, 0.058823529411764705, -0.5, 0.0625, 0.07142857142857142]","[76, 68, 48, 88, 112]","[72, 68, -8, 64, 56]","[-1, 30, 18, 31, 20]","[-2, 16, 18, 17, 14]","[19, 17, 12, 22, 28]","[-1, 30, 18, 31, 20]","[27, 25, 20, 30, 36]","[76, 68, 48, 88, 112]",error,"[19, 17, 12, 22, 8, 28]","[19, 17, 22, 28]",Violate,No-violate,No-violate,error,No-violate,No-violate,1,0,0,error,0,0
12,"[-3, 1, 23, 7, 1, 11]","[-2, -4, 12, 7, 1, 4]","[5, 9, 31, 15, 9, 19]","[2, 0, 16, 11, 5, 8]","[-3, 1, 7, 1, 11]","[-2, -4, 7, 1, 4]","[-3, 1, 23, 8, 7, 1, 11]","[-2, -4, 12, 4, 7, 1, 4]","[-1.5, -0.04999999999999999, 0.17424242424242425, 'ZeroDivisionError', 'ZeroDivisionError', 0.14285714285714285]","[-0.5, -0.25, 0.08333333333333333, 0.14285714285714285, 1.0, 0.25]","[-12, 4, 92, 28, 4, 44]","[-8, -16, 48, 28, 4, 16]","[4, 18, 6, -2, -5, 19]","[4, 7, 1, -2, -4, 12]","[-3, 1, 23, 7, 1, 11]","[4, 18, 6, -2, -5, 19]","[5, 9, 31, 15, 9, 19]","[-12, 4, 92, 28, 4, 44]",error,"[-3, 1, 23, 8, 7, 1, 11]","[-3, 1, 7, 1, 11]",Violate,No-violate,Violate,error,No-violate,No-violate,1,0,1,error,0,0
13,"[1, 6, -8, -1, 10]","[-2, 5, -4, -7, 3]","[9, 14, 0, 7, 18]","[2, 9, 0, -3, 7]","[1, 6, -1, 10]","[-2, 5, -7, 3]","[1, 8, 6, -8, -1, 10]","[-2, 4, 5, -4, -7, 3]","[-0.16666666666666669, 1.2, -0.5, 0.023809523809523808, 0.47619047619047616]","[-0.5, 0.2, -0.25, -0.14285714285714285, 0.3333333333333333]","[4, 24, -32, -4, 40]","[-8, 20, -16, -28, 12]","[3, -4, 4, 1, 4]","[-4, -7, 3, 5, -2]","[1, 6, -8, -1, 10]","[3, -4, 4, 1, 4]","[9, 14, 0, 7, 18]","[4, 24, -32, -4, 40]","[-0.16666666666666669, 1.2, -0.5, 0.023809523809523808, 0.47619047619047616]","[1, 8, 6, -8, -1, 10]","[1, 6, -1, 10]",Violate,No-violate,Violate,Violate,No-violate,No-violate,1,0,1,1,0,0
14,"[-1, -17, -7, -7, -18, -12, -6, -13, -4, -16, -14, -6, -5]","[-3, -9, -8, -3, -10, -10, -2, -1, 3, -5, -13, -3, -4]","[7, -9, 1, 1, -10, -4, 2, -5, 4, -8, -6, 2, 3]","[1, -5, -4, 1, -6, -6, 2, 3, 7, -1, -9, 1, 0]","[-1, -17, -7, -7, -18, -12, -6, -4, -16, -14, -6, -5]","[-3, -9, -8, -3, -10, -10, -2, 3, -5, -13, -3, -4]","[-1, -17, -7, -7, -18, -12, -6, -13, -4, -16, -14, -6, -5, 8]","[-3, -9, -8, -3, -10, -10, -2, -1, 3, -5, -13, -3, -4, 4]","[0.16666666666666669, -0.2361111111111111, 0.875, -0.5833333333333333, -0.225, -0.6, -0.75, -1.0833333333333333, 0.19047619047619047, -0.2909090909090909, -1.0769230769230769, -0.6666666666666666, -1.25]","[-0.3333333333333333, -0.1111111111111111, -0.125, -0.3333333333333333, -0.1, -0.1, -0.5, -1.0, 0.3333333333333333, -0.2, -0.07692307692307693, -0.3333333333333333, -0.25]","[-4, -68, -28, -28, -72, -48, -24, -52, -16, -64, -56, -24, -20]","[-12, -36, -32, -12, -40, -40, -8, -4, 12, -20, -52, -12, -16]","[-22, -4, -13, 5, -14, -6, -2, -18, -12, -9, -4, -11, -16]","[-10, -3, -2, 3, -13, -4, -3, -10, -8, -5, -1, -3, -9]","[-1, -17, -7, -7, -18, -12, -6, -13, -4, -16, -14, -6, -5]","[-22, -4, -13, 5, -14, -6, -2, -18, -12, -9, -4, -11, -16]","[7, -9, 1, 1, -10, -4, 2, -5, 4, -8, -6, 2, 3]","[-4, -68, -28, -28, -72, -48, -24, -52, -16, -64, -56, -24, -20]","[0.16666666666666669, -0.2361111111111111, 0.875, -0.5833333333333333, -0.225, -0.6, -0.75, -1.0833333333333333, 0.19047619047619047, -0.2909090909090909, -1.0769230769230769, -0.6666666666666666, -1.25]","[-1, -17, -7, -7, -18, -12, -6, -13, -4, -16, -14, -6, -5, 8]","[-1, -17, -7, -7, -18, -12, -6, -4, -16, -14, -6, -5]",Violate,No-violate,Violate,Violate,No-violate,No-violate,1,0,1,1,0,0
15,"[17, -34, 5, -26, -25, -11, -31, 5, -15, -12, -16, 9]","[10, -15, 7, -9, -14, -11, -18, 9, -3, -3, -6, 3]","[25, -26, 13, -18, -17, -3, -23, 13, -7, -4, -8, 17]","[14, -11, 11, -5, -10, -7, -14, 13, 1, 1, -2, 7]","[17, -34, 5, -26, -11, -31, 5, -15, -12, -16, 9]","[10, -15, 7, -9, -11, -18, 9, -3, -3, -6, 3]","[8, 17, -34, 5, -26, -25, -11, -31, 5, -15, -12, -16, 9]","[4, 10, -15, 7, -9, -14, -11, -18, 9, -3, -3, -6, 3]","[0.24285714285714285, -0.11929824561403508, -0.35714285714285715, -0.16993464052287582, -0.16233766233766234, 'ZeroDivisionError', -0.07692307692307693, -0.25, -0.08333333333333333, -0.1111111111111111, -0.1, 0.16666666666666666]","[0.1, -0.06666666666666667, 0.14285714285714285, -0.1111111111111111, -0.07142857142857142, -0.09090909090909091, -0.05555555555555555, 0.1111111111111111, -0.3333333333333333, -0.3333333333333333, -0.16666666666666666, 0.3333333333333333]","[68, -136, 20, -104, -100, -44, -124, 20, -60, -48, -64, 36]","[40, -60, 28, -36, -56, -44, -72, 36, -12, -12, -24, 12]","[-12, 4, -15, -4, 8, -13, -20, -8, -18, -27, -21, -8]","[7, -3, -15, 9, 10, -9, -3, 3, -6, -18, -11, -14]","[17, -34, 5, -26, -25, -11, -31, 5, -15, -12, -16, 9]","[-12, 4, -15, -4, 8, -13, -20, -8, -18, -27, -21, -8]","[25, -26, 13, -18, -17, -3, -23, 13, -7, -4, -8, 17]","[68, -136, 20, -104, -100, -44, -124, 20, -60, -48, -64, 36]",error,"[8, 17, -34, 5, -26, -25, -11, -31, 5, -15, -12, -16, 9]","[17, -34, 5, -26, -11, -31, 5, -15, -12, -16, 9]",Violate,No-violate,Violate,error,No-violate,No-violate,1,0,1,error,0,0
16,"[-15, -31, 0]","[-1, -15, -5]","[-7, -23, 8]","[3, -11, -1]","[-15, -31]","[-1, -15]","[-15, -31, 0, 8]","[-1, -15, -5, 4]","[-1.0714285714285714, -0.12916666666666665, 0.0]","[-1.0, -0.06666666666666667, -0.2]","[-60, -124, 0]","[-4, -60, -20]","[-17, -19, -10]","[-1, -5, -15]","[-15, -31, 0]","[-17, -19, -10]","[-7, -23, 8]","[-60, -124, 0]","[-1.0714285714285714, -0.12916666666666665, 0.0]","[-15, -31, 0, 8]","[-15, -31]",Violate,No-violate,Violate,Violate,No-violate,No-violate,1,0,1,1,0,0
17,"[13, -1, 19, -4, -3, 3, -21, 18, 20, -4, -12]","[6, 0, 16, -15, 1, 11, -12, 10, 11, -2, -14]","[21, 7, 27, 4, 5, 11, -13, 26, 28, 4, -4]","[10, 4, 20, -11, 5, 15, -8, 14, 15, 2, -10]","[13, -1, -4, -3, 3, -21, 18, 20, -4, -12]","[6, 0, -15, 1, 11, -12, 10, 11, -2, -14]","[8, 13, -1, 19, -4, -3, 3, -21, 18, 20, -4, -12]","[4, 6, 0, 16, -15, 1, 11, -12, 10, 11, -2, -14]","[0.30952380952380953, -1.0, 0.3333333333333333, 0.09090909090909091, -0.25, -0.125, -0.1111111111111111, 0.125, 0.1111111111111111, -0.5, 0.5]","[0.16666666666666666, 'ZeroDivisionError', 0.0625, -0.06666666666666667, 1.0, 0.09090909090909091, -0.08333333333333333, 0.1, 0.09090909090909091, -0.5, -0.07142857142857142]","[52, -4, 76, -16, -12, 12, -84, 72, 80, -16, -48]","[24, 0, 64, -60, 4, 44, -48, 40, 44, -8, -56]","[-4, -23, -11, 27, 18, 9, 20, -2, 2, -8, 0]","[-12, -15, -14, 16, 11, 10, 11, 0, 6, 1, -2]","[13, -1, 19, -4, -3, 3, -21, 18, 20, -4, -12]","[-4, -23, -11, 27, 18, 9, 20, -2, 2, -8, 0]","[21, 7, 27, 4, 5, 11, -13, 26, 28, 4, -4]","[52, -4, 76, -16, -12, 12, -84, 72, 80, -16, -48]",error,"[8, 13, -1, 19, -4, -3, 3, -21, 18, 20, -4, -12]","[13, -1, -4, -3, 3, -21, 18, 20, -4, -12]",Violate,No-violate,Violate,error,No-violate,No-violate,1,0,1,error,0,0
18,"[-11, -3, -23, -10, -22, -8, -3, -25, -7, -11, -25, -2, 6]","[-9, 2, -17, -4, -15, -5, -1, -14, -11, -16, -12, 3, 1]","[-3, 5, -15, -2, -14, 0, 5, -17, 1, -3, -17, 6, 14]","[-5, 6, -13, 0, -11, -1, 3, -10, -7, -12, -8, 7, 5]","[-3, -23, -10, -22, -8, -3, -25, -7, -11, -25, -2, 6]","[2, -17, -4, -15, -5, -1, -14, -11, -16, -12, 3, 1]","[-11, -3, -23, -10, -22, -8, -3, -25, -7, -11, -25, -2, 6, 8]","[-9, 2, -17, -4, -15, -5, -1, -14, -11, -16, -12, 3, 1, 4]","[-0.6111111111111112, 0.3, -0.22549019607843135, -0.41666666666666663, -0.2095238095238095, -0.5333333333333333, -1.5, -0.16233766233766234, 0.1590909090909091, 0.1375, -0.16025641025641024, 0.1333333333333333, 1.2]","[-0.1111111111111111, 0.5, -0.058823529411764705, -0.25, -0.06666666666666667, -0.2, -1.0, -0.07142857142857142, -0.09090909090909091, -0.0625, -0.08333333333333333, 0.3333333333333333, 1.0]","[-44, -12, -92, -40, -88, -32, -12, -100, -28, -44, -100, -8, 24]","[-36, 8, -68, -16, -60, -20, -4, -56, -44, -64, -48, 12, 4]","[-10, -14, -17, -10, -3, -29, -2, -15, -9, -12, -7, -6, -10]","[-15, -12, -14, -5, -1, -16, 3, -9, 2, -17, -11, 1, -4]","[-11, -3, -23, -10, -22, -8, -3, -25, -7, -11, -25, -2, 6]","[-10, -14, -17, -10, -3, -29, -2, -15, -9, -12, -7, -6, -10]","[-3, 5, -15, -2, -14, 0, 5, -17, 1, -3, -17, 6, 14]","[-44, -12, -92, -40, -88, -32, -12, -100, -28, -44, -100, -8, 24]","[-0.6111111111111112, 0.3, -0.22549019607843135, -0.41666666666666663, -0.2095238095238095, -0.5333333333333333, -1.5, -0.16233766233766234, 0.1590909090909091, 0.1375, -0.16025641025641024, 0.1333333333333333, 1.2]","[-11, -3, -23, -10, -22, -8, -3, -25, -7, -11, -25, -2, 6, 8]","[-3, -23, -10, -22, -8, -3, -25, -7, -11, -25, -2, 6]",Violate,No-violate,Violate,Violate,No-violate,No-violate,1,0,1,1,0,0
19,"[14, 15, 8, 13]","[14, 16, -3, 16]","[22, 23, 16, 21]","[18, 20, 1, 20]","[14, 15, 13]","[14, 16, 16]","[8, 14, 15, 8, 13]","[4, 14, 16, -3, 16]","['ZeroDivisionError', -1.0, 0.09090909090909091, -0.3333333333333333]","[0.07142857142857142, 0.0625, -0.3333333333333333, 0.0625]","[56, 60, 32, 52]","[56, 64, -12, 64]","[25, 15, 13, -3]","[14, 16, 16, -3]","[14, 15, 8, 13]","[25, 15, 13, -3]","[22, 23, 16, 21]","[56, 60, 32, 52]",error,"[8, 14, 15, 8, 13]","[14, 15, 13]",Violate,No-violate,No-violate,error,No-violate,No-violate,1,0,0,error,0,0
20,"[0, -3, -11, 23, 19, 12, 30, 0, -9, -6, 16, -3, -10, 1]","[7, -14, -7, 10, 18, 5, 18, 10, -11, -6, 2, 5, 5, 4]","[8, 5, -3, 31, 27, 20, 38, 8, -1, 2, 24, 5, -2, 9]","[11, -10, -3, 14, 22, 9, 22, 14, -7, -2, 6, 9, 9, 8]","[0, -3, -11, 19, 12, 30, 0, -9, -6, 16, -3, -10, 1]","[7, -14, -7, 18, 5, 18, 10, -11, -6, 2, 5, 5, 4]","[0, -3, -11, 23, 19, 12, 8, 30, 0, -9, -6, 16, -3, -10, 1]","[7, -14, -7, 10, 18, 5, 4, 18, 10, -11, -6, 2, 5, 5, 4]","[0.0, 0.019480519480519487, -0.39285714285714285, 0.17692307692307693, 1.0555555555555556, 0.34285714285714286, 0.1388888888888889, 0.0, 0.40909090909090906, 'ZeroDivisionError', 0.07142857142857142, -0.125, -0.06666666666666667, -0.3333333333333333]","[0.14285714285714285, -0.07142857142857142, -0.14285714285714285, 0.1, 0.05555555555555555, 0.2, 0.05555555555555555, 0.1, -0.09090909090909091, -0.16666666666666666, 0.5, 0.2, 0.2, 0.25]","[0, -12, -44, 92, 76, 48, 120, 0, -36, -24, 64, -12, -40, 4]","[28, -56, -28, 40, 72, 20, 72, 40, -44, -24, 8, 20, 20, 16]","[-3, 18, 2, -5, -10, -15, 20, -11, 7, 3, 17, 11, 0, 25]","[-14, 4, 5, 2, -6, -7, 7, -11, 5, 18, 5, 10, 10, 18]","[0, -3, -11, 23, 19, 12, 30, 0, -9, -6, 16, -3, -10, 1]","[-3, 18, 2, -5, -10, -15, 20, -11, 7, 3, 17, 11, 0, 25]","[8, 5, -3, 31, 27, 20, 38, 8, -1, 2, 24, 5, -2, 9]","[0, -12, -44, 92, 76, 48, 120, 0, -36, -24, 64, -12, -40, 4]",error,"[0, -3, -11, 23, 19, 12, 8, 30, 0, -9, -6, 16, -3, -10, 1]","[0, -3, -11, 19, 12, 30, 0, -9, -6, 16, -3, -10, 1]",Violate,No-violate,Violate,error,No-violate,No-violate,1,0,1,error,0,0
