,td_a,td_b,td_ttd_a_MR_ADD,td_ttd_b_MR_ADD,td_ttd_a_MR_EXC,td_ttd_b_MR_EXC,td_ttd_a_MR_INC,td_ttd_b_MR_INC,td_ttd_a_MR_INV,td_ttd_b_MR_INV,td_ttd_a_MR_MUL,td_ttd_b_MR_MUL,td_ttd_a_MR_PER,td_ttd_b_MR_PER,td_output,ttd_output_mr_per,ttd_output_mr_add,ttd_output_mr_mul,ttd_output_mr_inv,ttd_output_mr_inc,ttd_output_mr_exc,vs_str_mr_per,vs_str_mr_add,vs_str_mr_mul,vs_str_mr_inv,vs_str_mr_inc,vs_str_mr_exc,vs_mr_per,vs_mr_add,vs_mr_mul,vs_mr_inv,vs_mr_inc,vs_mr_exc
0,"[8, -5, 19, 8, -3, 3, 10, 14, 0, 10]","[9, -2, 10, 6, -1, 0, 12, 1, -1, 3]","[16, 3, 27, 16, 5, 11, 18, 22, 8, 18]","[13, 2, 14, 10, 3, 4, 16, 5, 3, 7]","[8, -5, 19, 8, -3, 3, 10, 14, 0]","[9, -2, 10, 6, -1, 0, 12, 1, -1]","[8, -5, 19, 8, -3, 3, 8, 10, 14, 0, 10]","[9, -2, 10, 6, -1, 0, 4, 12, 1, -1, 3]","[-0.8888888888888888, -0.8333333333333333, 0.2111111111111111, 0.6666666666666666, -1.5, 0.3333333333333333, -0.5, 0.07692307692307693, 1.0, 0.14285714285714285]","[0.1111111111111111, -0.5, 0.1, 0.16666666666666666, -1.0, 'ZeroDivisionError', 0.08333333333333333, 1.0, -1.0, 0.3333333333333333]","[32, -20, 76, 32, -12, 12, 40, 56, 0, 40]","[36, -8, 40, 24, -4, 0, 48, 4, -4, 12]","[11, -2, -2, 11, 1, 8, 4, 14, 0, 19]","[9, 0, -1, 10, -2, -1, 6, 1, 3, 12]","[8, -5, 19, 8, -3, 3, 10, 14, 0, 10]","[11, -2, -2, 11, 1, 8, 4, 14, 0, 19]","[16, 3, 27, 16, 5, 11, 18, 22, 8, 18]","[32, -20, 76, 32, -12, 12, 40, 56, 0, 40]",error,"[8, -5, 19, 8, -3, 3, 8, 10, 14, 0, 10]","[8, -5, 19, 8, -3, 3, 10, 14, 0]",Violate,No-violate,Violate,error,No-violate,No-violate,1,0,1,error,0,0
1,"[-10, 1, 7, -10, -7, -5, 1, -5, 5, 8]","[-4, 0, 4, -4, 0, -2, 3, -3, 4, 2]","[-2, 9, 15, -2, 1, 3, 9, 3, 13, 16]","[0, 4, 8, 0, 4, 2, 7, 1, 8, 6]","[-10, 1, 7, -10, -7, -5, -5, 5, 8]","[-4, 0, 4, -4, 0, -2, -3, 4, 2]","[-10, 1, 7, -10, -7, -5, 1, -5, 5, 8, 8]","[-4, 0, 4, -4, 0, -2, 3, -3, 4, 2, 4]","[-0.41666666666666663, 1.0, 0.3333333333333333, -0.16666666666666666, -0.14285714285714285, -0.3333333333333333, -0.5, -0.5, 1.0, 0.16666666666666666]","[-0.25, 'ZeroDivisionError', 0.25, -0.25, 'ZeroDivisionError', -0.5, 0.3333333333333333, -0.3333333333333333, 0.25, 0.5]","[-40, 4, 28, -40, -28, -20, 4, -20, 20, 32]","[-16, 0, 16, -16, 0, -8, 12, -12, 16, 8]","[-3, -5, -1, -3, -2, -11, 6, -2, 5, 1]","[-4, -3, -2, 3, 0, -4, 0, 4, 2, 4]","[-10, 1, 7, -10, -7, -5, 1, -5, 5, 8]","[-3, -5, -1, -3, -2, -11, 6, -2, 5, 1]","[-2, 9, 15, -2, 1, 3, 9, 3, 13, 16]","[-40, 4, 28, -40, -28, -20, 4, -20, 20, 32]",error,"[-10, 1, 7, -10, -7, -5, 1, -5, 5, 8, 8]","[-10, 1, 7, -10, -7, -5, -5, 5, 8]",Violate,No-violate,Violate,error,No-violate,No-violate,1,0,1,error,0,0
2,"[-4, -1, 2, -10, 2, -2, -1, -2]","[0, 2, 4, -6, 0, -2, 4, -6]","[4, 7, 10, -2, 10, 6, 7, 6]","[4, 6, 8, -2, 4, 2, 8, -2]","[-4, -1, -10, 2, -2, -1, -2]","[0, 2, -6, 0, -2, 4, -6]","[-4, -1, 8, 2, -10, 2, -2, -1, -2]","[0, 2, 4, 4, -6, 0, -2, 4, -6]","[-0.25, -0.3333333333333333, -0.5, -0.25, 0.5, 'ZeroDivisionError', -0.2, 0.25]","['ZeroDivisionError', 0.5, 0.25, -0.16666666666666666, 'ZeroDivisionError', -0.5, 0.25, -0.16666666666666666]","[-16, -4, 8, -40, 8, -8, -4, -8]","[0, 8, 16, -24, 0, -8, 16, -24]","[-10, -7, -2, 2, 4, -3, 4, -4]","[-6, -2, 2, 4, 4, 0, 0, -6]","[-4, -1, 2, -10, 2, -2, -1, -2]","[-10, -7, -2, 2, 4, -3, 4, -4]","[4, 7, 10, -2, 10, 6, 7, 6]","[-16, -4, 8, -40, 8, -8, -4, -8]",error,"[-4, -1, 8, 2, -10, 2, -2, -1, -2]","[-4, -1, -10, 2, -2, -1, -2]",Violate,No-violate,Violate,error,No-violate,No-violate,1,0,1,error,0,0
3,"[15, 2, 10, 15, -1, 12, 1]","[3, 4, 10, 11, -2, 1, 3]","[23, 10, 18, 23, 7, 20, 9]","[7, 8, 14, 15, 2, 5, 7]","[15, 2, 10, 15, -1, 1]","[3, 4, 10, 11, -2, 3]","[15, 2, 10, 15, -1, 12, 1, 8]","[3, 4, 10, 11, -2, 1, 3, 4]","[0.41666666666666663, -0.25, 'ZeroDivisionError', 0.25, 1.0, 0.09090909090909091, -0.5]","[0.3333333333333333, 0.25, 0.1, 0.09090909090909091, -0.5, 1.0, 0.3333333333333333]","[60, 8, 40, 60, -4, 48, 4]","[12, 16, 40, 44, -8, 4, 12]","[1, 11, 3, 10, 15, -1, 15]","[3, 10, 3, -2, 4, 1, 11]","[15, 2, 10, 15, -1, 12, 1]","[1, 11, 3, 10, 15, -1, 15]","[23, 10, 18, 23, 7, 20, 9]","[60, 8, 40, 60, -4, 48, 4]",error,"[15, 2, 10, 15, -1, 12, 1, 8]","[15, 2, 10, 15, -1, 1]",Violate,No-violate,Violate,error,No-violate,No-violate,1,0,1,error,0,0
4,"[-11, 0, 7, -15, 8]","[3, 5, 2, -14, 7]","[-3, 8, 15, -7, 16]","[7, 9, 6, -10, 11]","[-11, 0, 7, 8]","[3, 5, 2, 7]","[8, -11, 0, 7, -15, 8]","[4, 3, 5, 2, -14, 7]","[0.26190476190476186, 0.0, 0.7, -1.0714285714285714, 1.1428571428571428]","[0.3333333333333333, 0.2, 0.5, -0.07142857142857142, 0.14285714285714285]","[-44, 0, 28, -60, 32]","[12, 20, 8, -56, 28]","[-3, 6, 6, -9, -11]","[2, 5, 7, -14, 3]","[-11, 0, 7, -15, 8]","[-3, 6, 6, -9, -11]","[-3, 8, 15, -7, 16]","[-44, 0, 28, -60, 32]","[0.26190476190476186, 0.0, 0.7, -1.0714285714285714, 1.1428571428571428]","[8, -11, 0, 7, -15, 8]","[-11, 0, 7, 8]",Violate,No-violate,Violate,Violate,No-violate,No-violate,1,0,1,1,0,0
5,"[0, 2, 1, 2]","[1, -2, -3, -3]","[8, 10, 9, 10]","[5, 2, 1, 1]","[0, 2, 2]","[1, -2, -3]","[0, 8, 2, 1, 2]","[1, 4, -2, -3, -3]","[0.0, -0.25, -0.08333333333333331, -0.1333333333333333]","[1.0, -0.5, -0.3333333333333333, -0.3333333333333333]","[0, 8, 4, 8]","[4, -8, -12, -12]","[5, -4, 2, 2]","[1, -3, -3, -2]","[0, 2, 1, 2]","[5, -4, 2, 2]","[8, 10, 9, 10]","[0, 8, 4, 8]","[0.0, -0.25, -0.08333333333333331, -0.1333333333333333]","[0, 8, 2, 1, 2]","[0, 2, 2]",Violate,No-violate,Violate,Violate,No-violate,No-violate,1,0,1,1,0,0
6,"[-3, 11, 0, 13, 10, -7, -13, -2, 3]","[-5, 6, 3, 2, 0, -7, -5, 3, -8]","[5, 19, 8, 21, 18, 1, -5, 6, 11]","[-1, 10, 7, 6, 4, -3, -1, 7, -4]","[-3, 11, 0, 13, 10, -13, -2, 3]","[-5, 6, 3, 2, 0, -5, 3, -8]","[8, -3, 11, 0, 13, 10, -7, -13, -2, 3]","[4, -5, 6, 3, 2, 0, -7, -5, 3, -8]","[0.3, 0.3666666666666667, 0.0, 0.5909090909090909, 0.1, 'ZeroDivisionError', -0.125, -0.2, 0.09090909090909091]","[-0.2, 0.16666666666666666, 0.3333333333333333, 0.5, 'ZeroDivisionError', -0.14285714285714285, -0.2, 0.3333333333333333, -0.125]","[-12, 44, 0, 52, 40, -28, -52, -8, 12]","[-20, 24, 12, 8, 0, -28, -20, 12, -32]","[0, 4, -5, 2, -5, -3, 17, 0, 2]","[-5, -7, 0, 2, 3, -5, 6, 3, -8]","[-3, 11, 0, 13, 10, -7, -13, -2, 3]","[0, 4, -5, 2, -5, -3, 17, 0, 2]","[5, 19, 8, 21, 18, 1, -5, 6, 11]","[-12, 44, 0, 52, 40, -28, -52, -8, 12]",error,"[8, -3, 11, 0, 13, 10, -7, -13, -2, 3]","[-3, 11, 0, 13, 10, -13, -2, 3]",Violate,No-violate,Violate,error,No-violate,No-violate,1,0,1,error,0,0
7,"[-3, -3, -4, 15, -14]","[5, -10, -2, 11, -4]","[5, 5, 4, 23, -6]","[9, -6, 2, 15, 0]","[-3, -4, 15, -14]","[-10, -2, 11, -4]","[-3, -3, 8, -4, 15, -14]","[5, -10, 4, -2, 11, -4]","[0.07500000000000001, 0.042857142857142844, -1.0, 0.34090909090909094, -0.35]","[0.2, -0.1, -0.5, 0.09090909090909091, -0.25]","[-12, -12, -16, 60, -56]","[20, -40, -8, 44, -16]","[-3, 2, 1, -12, 3]","[-10, -2, 11, -4, 5]","[-3, -3, -4, 15, -14]","[-3, 2, 1, -12, 3]","[5, 5, 4, 23, -6]","[-12, -12, -16, 60, -56]","[0.07500000000000001, 0.042857142857142844, -1.0, 0.34090909090909094, -0.35]","[-3, -3, 8, -4, 15, -14]","[-3, -4, 15, -14]",Violate,No-violate,Violate,Violate,No-violate,No-violate,1,0,1,1,0,0
8,[],[],[],[],[],[],[8],[4],[],[],[],[],[],[],[],[],[],[],[],[8],[],No-violate,No-violate,No-violate,No-violate,No-violate,Violate,0,0,0,0,0,1
9,"[4, 19, -7, 3, 12]","[-1, 6, -5, -1, 16]","[12, 27, 1, 11, 20]","[3, 10, -1, 3, 20]","[4, 19, 3, 12]","[-1, 6, -1, 16]","[4, 19, -7, 8, 3, 12]","[-1, 6, -5, 4, -1, 16]","[-0.8, 0.24358974358974358, -0.7, -0.75, -0.1875]","[-1.0, 0.16666666666666666, -0.2, -1.0, 0.0625]","[16, 76, -28, 12, 48]","[-4, 24, -20, -4, 64]","[3, 2, 4, 8, 14]","[-1, 6, -1, -5, 16]","[4, 19, -7, 3, 12]","[3, 2, 4, 8, 14]","[12, 27, 1, 11, 20]","[16, 76, -28, 12, 48]","[-0.8, 0.24358974358974358, -0.7, -0.75, -0.1875]","[4, 19, -7, 8, 3, 12]","[4, 19, 3, 12]",Violate,No-violate,Violate,Violate,No-violate,No-violate,1,0,1,1,0,0
