antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({'weigth_of_list_wn', 'more_positive_or_negative_n'})",frozenset({'vs_str_error'}),0.1875,1.0,0.1875,1.0,1.0,0.0,inf,0.0
"frozenset({'weigth_of_list_wn', 'has_duplicates'})","frozenset({'vs_str_error', 'has_zeros'})",0.1875,1.0,0.1875,1.0,1.0,0.0,inf,0.0
"frozenset({'weigth_of_list_wp', 'more_positive_or_negative_p'})",frozenset({'vs_str_error'}),0.1875,1.0,0.1875,1.0,1.0,0.0,inf,0.0
"frozenset({'weigth_of_list_wn', 'vs_str_error', 'has_duplicates'})",frozenset({'has_zeros'}),0.1875,1.0,0.1875,1.0,1.0,0.0,inf,0.0
"frozenset({'weigth_of_list_wp', 'more_positive_or_negative_p'})","frozenset({'vs_str_error', 'has_zeros'})",0.1875,1.0,0.1875,1.0,1.0,0.0,inf,0.0
"frozenset({'weigth_of_list_wn', 'has_zeros', 'has_duplicates'})",frozenset({'vs_str_error'}),0.1875,1.0,0.1875,1.0,1.0,0.0,inf,0.0
"frozenset({'weigth_of_list_wp', 'has_zeros', 'more_positive_or_negative_p'})",frozenset({'vs_str_error'}),0.1875,1.0,0.1875,1.0,1.0,0.0,inf,0.0
"frozenset({'vs_str_error', 'weigth_of_list_wp', 'more_positive_or_negative_p'})",frozenset({'has_zeros'}),0.1875,1.0,0.1875,1.0,1.0,0.0,inf,0.0
"frozenset({'more_positive_or_negative_e', 'has_duplicates'})",frozenset({'vs_str_error'}),0.125,1.0,0.125,1.0,1.0,0.0,inf,0.0
"frozenset({'weigth_of_list_wn', 'vs_str_error', 'more_positive_or_negative_p'})",frozenset({'has_zeros'}),0.125,1.0,0.125,1.0,1.0,0.0,inf,0.0
"frozenset({'weigth_of_list_wn', 'more_positive_or_negative_p'})","frozenset({'vs_str_error', 'has_zeros'})",0.125,1.0,0.125,1.0,1.0,0.0,inf,0.0
"frozenset({'weigth_of_list_wp', 'has_zeros', 'more_positive_or_negative_n'})",frozenset({'vs_str_error'}),0.125,1.0,0.125,1.0,1.0,0.0,inf,0.0
"frozenset({'weigth_of_list_wn', 'has_zeros', 'more_positive_or_negative_p'})",frozenset({'vs_str_error'}),0.125,1.0,0.125,1.0,1.0,0.0,inf,0.0
"frozenset({'more_positive_or_negative_p', 'has_duplicates'})",frozenset({'vs_str_error'}),0.125,1.0,0.125,1.0,1.0,0.0,inf,0.0
"frozenset({'more_positive_or_negative_n', 'has_duplicates'})",frozenset({'vs_str_error'}),0.125,1.0,0.125,1.0,1.0,0.0,inf,0.0
"frozenset({'vs_str_error', 'more_positive_or_negative_n', 'weigth_of_list_wp'})",frozenset({'has_zeros'}),0.125,1.0,0.125,1.0,1.0,0.0,inf,0.0
"frozenset({'weigth_of_list_wp', 'more_positive_or_negative_n'})","frozenset({'vs_str_error', 'has_zeros'})",0.125,1.0,0.125,1.0,1.0,0.0,inf,0.0
"frozenset({'weigth_of_list_wn', 'more_positive_or_negative_p'})",frozenset({'vs_str_error'}),0.125,1.0,0.125,1.0,1.0,0.0,inf,0.0
"frozenset({'vs_str_error', 'weigth_of_list_wp', 'is_sorted'})",frozenset({'has_zeros'}),0.125,1.0,0.125,1.0,1.0,0.0,inf,0.0
"frozenset({'weigth_of_list_wn', 'more_positive_or_negative_e'})","frozenset({'vs_str_error', 'has_zeros'})",0.125,1.0,0.125,1.0,1.0,0.0,inf,0.0
"frozenset({'vs_str_error', 'more_positive_or_negative_e', 'has_duplicates'})",frozenset({'has_zeros'}),0.125,1.0,0.125,1.0,1.0,0.0,inf,0.0
"frozenset({'has_zeros', 'more_positive_or_negative_e', 'has_duplicates'})",frozenset({'vs_str_error'}),0.125,1.0,0.125,1.0,1.0,0.0,inf,0.0
"frozenset({'more_positive_or_negative_e', 'has_duplicates'})","frozenset({'vs_str_error', 'has_zeros'})",0.125,1.0,0.125,1.0,1.0,0.0,inf,0.0
"frozenset({'vs_str_error', 'more_positive_or_negative_n', 'has_duplicates'})",frozenset({'has_zeros'}),0.125,1.0,0.125,1.0,1.0,0.0,inf,0.0
"frozenset({'has_zeros', 'more_positive_or_negative_n', 'has_duplicates'})",frozenset({'vs_str_error'}),0.125,1.0,0.125,1.0,1.0,0.0,inf,0.0
"frozenset({'more_positive_or_negative_n', 'has_duplicates'})","frozenset({'vs_str_error', 'has_zeros'})",0.125,1.0,0.125,1.0,1.0,0.0,inf,0.0
"frozenset({'vs_str_error', 'more_positive_or_negative_p', 'has_duplicates'})",frozenset({'has_zeros'}),0.125,1.0,0.125,1.0,1.0,0.0,inf,0.0
"frozenset({'has_zeros', 'more_positive_or_negative_p', 'has_duplicates'})",frozenset({'vs_str_error'}),0.125,1.0,0.125,1.0,1.0,0.0,inf,0.0
"frozenset({'more_positive_or_negative_p', 'has_duplicates'})","frozenset({'vs_str_error', 'has_zeros'})",0.125,1.0,0.125,1.0,1.0,0.0,inf,0.0
"frozenset({'vs_str_error', 'is_sorted', 'more_positive_or_negative_e'})",frozenset({'has_zeros'}),0.125,1.0,0.125,1.0,1.0,0.0,inf,0.0
"frozenset({'has_zeros', 'is_sorted', 'more_positive_or_negative_e'})",frozenset({'vs_str_error'}),0.125,1.0,0.125,1.0,1.0,0.0,inf,0.0
"frozenset({'weigth_of_list_wn', 'more_positive_or_negative_e'})",frozenset({'vs_str_error'}),0.125,1.0,0.125,1.0,1.0,0.0,inf,0.0
"frozenset({'is_sorted', 'more_positive_or_negative_e'})","frozenset({'vs_str_error', 'has_zeros'})",0.125,1.0,0.125,1.0,1.0,0.0,inf,0.0
"frozenset({'weigth_of_list_wp', 'is_sorted'})",frozenset({'vs_str_error'}),0.125,1.0,0.125,1.0,1.0,0.0,inf,0.0
"frozenset({'weigth_of_list_wp', 'more_positive_or_negative_n'})",frozenset({'vs_str_error'}),0.125,1.0,0.125,1.0,1.0,0.0,inf,0.0
"frozenset({'weigth_of_list_wp', 'has_zeros', 'is_sorted'})",frozenset({'vs_str_error'}),0.125,1.0,0.125,1.0,1.0,0.0,inf,0.0
"frozenset({'is_sorted', 'more_positive_or_negative_e'})",frozenset({'vs_str_error'}),0.125,1.0,0.125,1.0,1.0,0.0,inf,0.0
"frozenset({'weigth_of_list_wp', 'is_sorted'})","frozenset({'vs_str_error', 'has_zeros'})",0.125,1.0,0.125,1.0,1.0,0.0,inf,0.0
"frozenset({'weigth_of_list_wn', 'has_zeros', 'more_positive_or_negative_e'})",frozenset({'vs_str_error'}),0.125,1.0,0.125,1.0,1.0,0.0,inf,0.0
"frozenset({'weigth_of_list_wn', 'vs_str_error', 'more_positive_or_negative_e'})",frozenset({'has_zeros'}),0.125,1.0,0.125,1.0,1.0,0.0,inf,0.0
