antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
['more_positive_or_negative_n'],['vs_str_Violate'],0.3333333333333333,0.38095238095238093,0.16666666666666666,0.5,1.3125,0.03968253968253968,1.2380952380952381,0.3571428571428571
['weigth_of_list_wn'],['vs_str_Violate'],0.38095238095238093,0.38095238095238093,0.38095238095238093,1.0,2.625,0.23582766439909297,inf,1.0
"['has_zeros', 'weigth_of_list_wn']",['vs_str_Violate'],0.16666666666666666,0.38095238095238093,0.16666666666666666,1.0,2.625,0.10317460317460317,inf,0.7428571428571428
"['weigth_of_list_wn', 'has_duplicates']",['vs_str_Violate'],0.16666666666666666,0.38095238095238093,0.16666666666666666,1.0,2.625,0.10317460317460317,inf,0.7428571428571428
